Chromosome	Start	End	NA	Strand
CSPG5	chr3	47562238	47580792	NA	-
SMARCC1	chr3	47585269	47782106	NA	-
DHX30	chr3	47802909	47850195	NA	+
MAP4	chr3	47850690	48089272	NA	-
CDC25A	chr3	48157146	48188417	NA	-
ZNF589	chr3	48241100	48299253	NA	+
NME6	chr3	48290722	48301685	NA	-
PLXNB1	chr3	48403854	48430086	NA	-
CCDC51	chr3	48432164	48440456	NA	-
TMA7	chr3	48440257	48444208	NA	+
ATRIP	chr3	48446710	48467645	NA	+
TREX1	chr3	48465811	48467645	NA	+
SHISA5	chr3	48467798	48504826	NA	-
PFKFB4	chr3	48517684	48562015	NA	-
COL7A1	chr3	48564073	48595329	NA	-
UQCRC1	chr3	48599002	48610976	NA	-
SLC26A6	chr3	48625723	48635493	NA	-
CELSR3	chr3	48636463	48662886	NA	-
NCKIPSD	chr3	48673844	48686364	NA	-
IP6K2	chr3	48688003	48740353	NA	-
PRKAR2A	chr3	48744597	48847874	NA	-
SLC25A20	chr3	48856926	48898904	NA	-
ARIH2	chr3	48918821	48986382	NA	+
P4HTM	chr3	48989889	49007153	NA	+
WDR6	chr3	49007062	49015953	NA	+
DALRD3	chr3	49015488	49022293	NA	-
NDUFAF3	chr3	49020459	49023495	NA	+
IMPDH2	chr3	49024325	49029447	NA	-
QRICH1	chr3	49029707	49094363	NA	-
USP19	chr3	49108046	49120938	NA	-
LAMB2	chr3	49121114	49133118	NA	-
CCDC71	chr3	49162535	49166331	NA	-
KLHDC8B	chr3	49171598	49176486	NA	+
C3orf62	chr3	49268596	49277232	NA	-
USP4	chr3	49277144	49340712	NA	-
GPX1	chr3	49357176	49358353	NA	-
RHOA	chr3	49359139	49412998	NA	-
TCTA	chr3	49412206	49416475	NA	+
AMT	chr3	49416778	49422685	NA	-
NICN1	chr3	49422333	49429326	NA	-
DAG1	chr3	49468703	49535618	NA	+
BSN	chr3	49554477	49671549	NA	+
APEH	chr3	49674014	49683971	NA	+
MST1	chr3	49683947	49689501	NA	-
RNF123	chr3	49689538	49721529	NA	+
AMIGO3	chr3	49716829	49719684	NA	-
GMPPB	chr3	49716844	49723973	NA	-
IP6K1	chr3	49724294	49786542	NA	-
TRAIP	chr3	49828601	49856574	NA	-
MST1R	chr3	49887002	49903873	NA	-
MON1A	chr3	49907160	49930173	NA	-
RBM6	chr3	49940007	50100045	NA	+
RBM5	chr3	50088919	50119021	NA	+
SEMA3F	chr3	50155045	50189075	NA	+
SLC38A3	chr3	50205246	50221486	NA	+
GNAI2	chr3	50226292	50259362	NA	+
SEMA3B	chr3	50267558	50277546	NA	+
LSMEM2	chr3	50279087	50288114	NA	+
IFRD2	chr3	50287732	50292918	NA	-
HYAL3	chr3	50292831	50299405	NA	-
HYAL1	chr3	50299890	50312381	NA	-
HYAL2	chr3	50317790	50322782	NA	-
TUSC2	chr3	50320027	50328251	NA	-
RASSF1	chr3	50329782	50340980	NA	-
ZMYND10	chr3	50341110	50345732	NA	-
NPRL2	chr3	50347330	50350826	NA	-
CYB561D2	chr3	50350845	50358460	NA	+
TMEM115	chr3	50354750	50359521	NA	-
CACNA2D2	chr3	50362613	50504244	NA	-
C3orf18	chr3	50558025	50571027	NA	-
HEMK1	chr3	50569152	50596168	NA	+
CISH	chr3	50606489	50611774	NA	-
MAPKAPK3	chr3	50611520	50649291	NA	+
DOCK3	chr3	50674927	51384198	NA	+
MANF	chr3	51385291	51389397	NA	+
RBM15B	chr3	51391285	51397908	NA	+
DCAF1	chr3	51395867	51500015	NA	-
RAD54L2	chr3	51538719	51668667	NA	+
TEX264	chr3	51662693	51704323	NA	+
RRP9	chr3	51933429	51941904	NA	-
PARP3	chr3	51942345	51948867	NA	+
GPR62	chr3	51955381	51957499	NA	+
PCBP4	chr3	51957454	51974016	NA	-
ABHD14B	chr3	51968510	51983409	NA	-
ABHD14A	chr3	51971426	51981199	NA	+
ABHD14A-ACY1	chr3	51974706	51989183	NA	+
ACY1	chr3	51983340	51989197	NA	+
RPL29	chr3	51993522	51995895	NA	-
DUSP7	chr3	52048919	52056571	NA	-
POC1A	chr3	52075226	52154690	NA	-
ALAS1	chr3	52198086	52214327	NA	+
TWF2	chr3	52228612	52246788	NA	-
PPM1M	chr3	52245759	52250599	NA	+
WDR82	chr3	52254434	52288020	NA	-
GLYCTK	chr3	52287089	52295257	NA	+
DNAH1	chr3	52316319	52400492	NA	+
BAP1	chr3	52401008	52410008	NA	-
PHF7	chr3	52410660	52423641	NA	+
SEMA3G	chr3	52433035	52445103	NA	-
TNNC1	chr3	52451100	52454041	NA	-
NISCH	chr3	52455118	52493068	NA	+
STAB1	chr3	52495338	52524495	NA	+
NT5DC2	chr3	52524385	52535054	NA	-
SMIM4	chr3	52534013	52579237	NA	+
PBRM1	chr3	52545352	52685917	NA	-
GNL3	chr3	52681156	52694497	NA	+
GLT8D1	chr3	52694486	52706032	NA	-
SPCS1	chr3	52704955	52711148	NA	+
NEK4	chr3	52708444	52770946	NA	-
ITIH4	chr3	52812962	52830688	NA	-
MUSTN1	chr3	52833114	52835019	NA	-
STIMATE	chr3	52836219	52897548	NA	-
SFMBT1	chr3	52903572	53046750	NA	-
RFT1	chr3	53088483	53130453	NA	-
PRKCD	chr3	53156009	53192717	NA	+
TKT	chr3	53224712	53256052	NA	-
DCP1A	chr3	53283429	53347586	NA	-
CACNA1D	chr3	53328963	53813733	NA	+
CHDH	chr3	53812335	53846419	NA	-
IL17RB	chr3	53846568	53865794	NA	+
ACTR8	chr3	53867066	53882152	NA	-
SELENOK	chr3	53884417	53891962	NA	-
CCDC66	chr3	56557161	56621837	NA	+
ARHGEF3	chr3	56727418	57079329	NA	-
SPATA12	chr3	57060664	57075432	NA	+
IL17RD	chr3	57089982	57170306	NA	-
HESX1	chr3	57197838	57227606	NA	-
APPL1	chr3	57227726	57278105	NA	+
ASB14	chr3	57268342	57292685	NA	-
PDE12	chr3	57556274	57566848	NA	+
ARF4	chr3	57571363	57598220	NA	-
DENND6A	chr3	57625454	57693077	NA	-
SLMAP	chr3	57755450	57930003	NA	+
FLNB	chr3	58008398	58172251	NA	+
ABHD6	chr3	58237532	58295693	NA	+
RPP14	chr3	58306245	58324695	NA	+
HTD2	chr3	58306262	58320193	NA	+
PXK	chr3	58332880	58426127	NA	+
PDHB	chr3	58427630	58433857	NA	-
KCTD6	chr3	58492096	58502360	NA	+
ACOX2	chr3	58505136	58537283	NA	-
FHIT	chr3	59747277	61251459	NA	-
PTPRG	chr3	61561569	62297609	NA	+
C3orf49	chr3	63819299	63848636	NA	+
THOC7	chr3	63833870	63863868	NA	-
ATXN7	chr3	63863155	64003462	NA	+
PSMD6	chr3	64010550	64024010	NA	-
MAGI1	chr3	65353525	66038834	NA	-
SLC25A26	chr3	66133610	66388116	NA	+
LRIG1	chr3	66378797	66501263	NA	-
KBTBD8	chr3	66998307	67011210	NA	+
SUCLG2	chr3	67360460	67654612	NA	-
EOGT	chr3	68975217	69013684	NA	-
TMF1	chr3	69019827	69052339	NA	-
UBA3	chr3	69054730	69080408	NA	-
ARL6IP5	chr3	69084937	69106092	NA	+
FRMD4B	chr3	69168782	69542583	NA	-
MITF	chr3	69739464	69968336	NA	+
FOXP1	chr3	70954708	71583989	NA	-
EIF4E3	chr3	71675414	71754773	NA	-
RYBP	chr3	72371825	72446623	NA	-
SHQ1	chr3	72749277	72861914	NA	-
GXYLT2	chr3	72888046	72998138	NA	+
PPP4R2	chr3	72996803	73069198	NA	+
EBLN2	chr3	73061659	73063337	NA	+
GBE1	chr3	81489703	81761645	NA	-
CHMP2B	chr3	87227271	87255556	NA	+
CGGBP1	chr3	88051944	88149885	NA	-
ZNF654	chr3	88059255	88144660	NA	+
C3orf38	chr3	88149959	88168729	NA	+
PROS1	chr3	93873051	93980003	NA	-
ARL13B	chr3	93980139	94055678	NA	+
DHFR2	chr3	94047836	94063389	NA	-
NSUN3	chr3	94062980	94131832	NA	+
MTRNR2L12	chr3	96617188	96618236	NA	-
ARL6	chr3	97764521	97801229	NA	+
CRYBG3	chr3	97822011	97944984	NA	+
RIOX2	chr3	97941818	97972457	NA	-
CLDND1	chr3	98497912	98523066	NA	-
GPR15	chr3	98531978	98534681	NA	+
CPOX	chr3	98579446	98593648	NA	-
ST3GAL6	chr3	98732236	98821201	NA	+
DCBLD2	chr3	98795941	98901695	NA	-
CMSS1	chr3	99817837	100181732	NA	+
FILIP1L	chr3	99828811	100114513	NA	-
TBC1D23	chr3	100260992	100325251	NA	+
NIT2	chr3	100334739	100361635	NA	+
TOMM70	chr3	100363431	100401089	NA	-
LNP1	chr3	100401532	100456319	NA	+
TMEM45A	chr3	100492619	100577444	NA	+
TFG	chr3	100709295	100748964	NA	+
ABI3BP	chr3	100749156	100993515	NA	-
IMPG2	chr3	101222546	101320575	NA	-
SENP7	chr3	101324205	101513241	NA	-
TRMT10C	chr3	101561868	101566446	NA	+
PCNP	chr3	101574180	101594465	NA	+
ZBTB11	chr3	101648889	101677132	NA	-
RPL24	chr3	101681091	101686718	NA	-
CEP97	chr3	101724593	101770562	NA	+
NXPE3	chr3	101779202	101828231	NA	+
NFKBIZ	chr3	101827991	101861022	NA	+
ALCAM	chr3	105366909	105576900	NA	+
CBLB	chr3	105655461	105869552	NA	-
BBX	chr3	107522936	107811339	NA	+
CD47	chr3	108043091	108091862	NA	-
IFT57	chr3	108160812	108222435	NA	-
MYH15	chr3	108380368	108529322	NA	-
CIP2A	chr3	108549864	108589644	NA	-
DZIP3	chr3	108589705	108694840	NA	+
NECTIN3	chr3	111070071	111275563	NA	+
ZBED2	chr3	111592900	111595346	NA	-
PLCXD2	chr3	111674676	111846447	NA	+
PHLDB2	chr3	111732497	111976517	NA	+
ABHD10	chr3	111979010	111993368	NA	+
TMPRSS7	chr3	112034843	112081269	NA	+
C3orf52	chr3	112086335	112131004	NA	+
GCSAM	chr3	112120839	112133270	NA	-
SLC9C1	chr3	112140898	112294227	NA	-
ATG3	chr3	112532510	112562046	NA	-
SLC35A5	chr3	112561709	112585579	NA	+
GTPBP8	chr3	112990984	113015060	NA	+
NEPRO	chr3	113002444	113019861	NA	-
BOC	chr3	113211003	113287459	NA	+
CFAP44	chr3	113286930	113441610	NA	-
SPICE1	chr3	113442718	113515187	NA	-
USF3	chr3	113648385	113696646	NA	-
NAA50	chr3	113716458	113746300	NA	-
ATP6V1A	chr3	113747033	113812056	NA	+
GRAMD1C	chr3	113828182	113947174	NA	+
ZDHHC23	chr3	113947901	113965401	NA	+
CCDC191	chr3	113964137	114056594	NA	-
QTRT2	chr3	114005833	114088422	NA	+
TIGIT	chr3	114276913	114310288	NA	+
ZBTB20	chr3	114314500	115147288	NA	-
B4GALT4	chr3	119211732	119240946	NA	-
ARHGAP31	chr3	119294383	119420714	NA	+
TMEM39A	chr3	119428949	119468830	NA	-
POGLUT1	chr3	119468963	119494708	NA	+
TIMMDC1	chr3	119498547	119525090	NA	+
ADPRH	chr3	119579268	119589945	NA	+
COX17	chr3	119654513	119677454	NA	-
GSK3B	chr3	119821321	120094994	NA	-
LRRC58	chr3	120324509	120349354	NA	-
FSTL1	chr3	120392293	120450993	NA	-
NDUFB4	chr3	120596328	120602507	NA	+
RABL3	chr3	120684938	120742993	NA	-
GTF2E1	chr3	120742637	120783069	NA	+
STXBP5L	chr3	120908072	121424761	NA	+
POLQ	chr3	121431431	121545988	NA	-
GOLGB1	chr3	121663199	121749767	NA	-
IQCB1	chr3	121769761	121835079	NA	-
EAF2	chr3	121835183	121886526	NA	+
ILDR1	chr3	121987323	122022247	NA	-
CSTA	chr3	122325248	122341969	NA	+
FAM162A	chr3	122384176	122412334	NA	+
WDR5B	chr3	122411846	122416062	NA	-
KPNA1	chr3	122421902	122514945	NA	-
PARP9	chr3	122527924	122564577	NA	-
DTX3L	chr3	122564338	122575203	NA	+
PARP14	chr3	122680839	122730840	NA	+
HSPBAP1	chr3	122739999	122793831	NA	-
PDIA5	chr3	123067025	123225227	NA	+
SEC22A	chr3	123201927	123274136	NA	+
HACD2	chr3	123490820	123585053	NA	-
MYLK	chr3	123610049	123884332	NA	-
CCDC14	chr3	123897305	123961408	NA	-
KALRN	chr3	124033369	124726325	NA	+
UMPS	chr3	124730433	124749273	NA	+
ITGB5	chr3	124761948	124901418	NA	-
HEG1	chr3	124965710	125055997	NA	-
SLC12A8	chr3	125082636	125212864	NA	-
ZNF148	chr3	125225669	125375325	NA	-
SNX4	chr3	125446650	125520202	NA	-
OSBPL11	chr3	125528858	125595497	NA	-
SLC41A3	chr3	126006357	126101561	NA	-
KLF15	chr3	126342635	126357408	NA	-
ZXDC	chr3	126437601	126475891	NA	-
CHST13	chr3	126524155	126543291	NA	+
TXNRD3	chr3	126571779	126655124	NA	-
CHCHD6	chr3	126704240	126960420	NA	+
PLXNA1	chr3	126982693	127037389	NA	+
TPRA1	chr3	127571232	127598267	NA	-
MCM2	chr3	127598410	127622436	NA	+
PODXL2	chr3	127629185	127672802	NA	+
ABTB1	chr3	127672935	127680926	NA	+
MGLL	chr3	127689062	128052190	NA	-
SEC61A1	chr3	128051641	128071683	NA	+
RUVBL1	chr3	128064778	128153914	NA	-
EEFSEC	chr3	128153481	128408646	NA	+
GATA2	chr3	128479427	128493201	NA	-
RPN1	chr3	128619969	128681075	NA	-
RAB7A	chr3	128693669	128825942	NA	+
ACAD9	chr3	128879596	128924003	NA	+
EFCC1	chr3	129001304	129040742	NA	+
RAB43	chr3	129087569	129122801	NA	-
ISY1-RAB43	chr3	129087575	129161036	NA	-
ISY1	chr3	129127415	129161063	NA	-
CNBP	chr3	129167827	129183922	NA	-
COPG1	chr3	129249606	129277773	NA	+
HMCES	chr3	129278828	129306186	NA	+
MBD4	chr3	129430947	129440179	NA	-
IFT122	chr3	129440036	129520507	NA	+
PLXND1	chr3	129555214	129606676	NA	-
TMCC1	chr3	129647792	129893711	NA	-
PIK3R4	chr3	130678934	130746829	NA	-
ATP2C1	chr3	130850595	131016712	NA	+
ASTE1	chr3	131013875	131027649	NA	-
NEK11	chr3	131026850	131350465	NA	+
NUDT16	chr3	131381671	131388830	NA	+
MRPL3	chr3	131462212	131502983	NA	-
DNAJC13	chr3	132417502	132539032	NA	+
ACAD11	chr3	132558138	132660082	NA	-
NPHP3-ACAD11	chr3	132558142	132722459	NA	-
ACKR4	chr3	132597270	132618967	NA	+
UBA5	chr3	132654446	132679794	NA	+
NPHP3	chr3	132680609	132722432	NA	-
CDV3	chr3	133573686	133590261	NA	+
TOPBP1	chr3	133598175	133662380	NA	-
SRPRB	chr3	133784023	133825772	NA	+
RAB6B	chr3	133824235	133895882	NA	-
RYK	chr3	134065303	134250859	NA	-
AMOTL2	chr3	134355347	134375479	NA	-
ANAPC13	chr3	134477706	134486716	NA	-
CEP63	chr3	134485699	134587789	NA	+
PPP2R3A	chr3	135965728	136147894	NA	+
MSL2	chr3	136148917	136197241	NA	-
PCCB	chr3	136250340	136337896	NA	+
STAG1	chr3	136336236	136752403	NA	-
SLC35G2	chr3	136818647	136855888	NA	+
NCK1	chr3	136862208	136951606	NA	+
IL20RB	chr3	136946230	137011085	NA	+
CLDN18	chr3	137998735	138033655	NA	+
DZIP1L	chr3	138061990	138115818	NA	-
DBR1	chr3	138160988	138174921	NA	-
ARMC8	chr3	138187248	138298384	NA	+
NME9	chr3	138261437	138329886	NA	-
MRAS	chr3	138347648	138405534	NA	+
ESYT3	chr3	138434586	138481686	NA	+
CEP70	chr3	138494344	138594538	NA	-
FAIM	chr3	138608606	138633376	NA	+
PIK3CB	chr3	138652698	138834928	NA	-
MRPS22	chr3	139005806	139357223	NA	+
COPB2	chr3	139353946	139389736	NA	-
RBP1	chr3	139517434	139539829	NA	-
NMNAT3	chr3	139560180	139678017	NA	-
SLC25A36	chr3	140941830	140980995	NA	+
PXYLP1	chr3	141228726	141367753	NA	+
ZBTB38	chr3	141324213	141449792	NA	+
RASA2	chr3	141487027	141615344	NA	+
RNF7	chr3	141738249	141747560	NA	+
ATP1B3	chr3	141876124	141926549	NA	+
TFDP2	chr3	141944428	142149544	NA	-
GK5	chr3	142157527	142225592	NA	-
XRN1	chr3	142306607	142448062	NA	-
ATR	chr3	142449007	142578733	NA	-
PLS1	chr3	142596393	142713664	NA	+
TRPC1	chr3	142724034	142807888	NA	+
PCOLCE2	chr3	142815922	142889206	NA	-
U2SURP	chr3	142964497	143060725	NA	+
CHST2	chr3	143119771	143124014	NA	+
SLC9A9	chr3	143265222	143848485	NA	-
PLOD2	chr3	146069440	146163653	NA	-
PLSCR4	chr3	146192335	146251179	NA	-
PLSCR1	chr3	146515180	146544856	NA	-
GYG1	chr3	148991408	149031775	NA	+
HLTF	chr3	149030127	149086554	NA	-
HPS3	chr3	149129638	149173732	NA	+
CP	chr3	149162410	149221829	NA	-
TM4SF18	chr3	149318498	149334414	NA	-
WWTR1	chr3	149517235	149736714	NA	-
COMMD2	chr3	149738472	149752495	NA	-
ANKUB1	chr3	149761100	149968385	NA	-
RNF13	chr3	149812770	149962139	NA	+
PFN2	chr3	149964904	150050788	NA	-
TSC22D2	chr3	150408335	150466431	NA	+
SERP1	chr3	150541998	150603228	NA	-
EIF2A	chr3	150546678	150586016	NA	+
SELENOT	chr3	150602875	150630445	NA	+
SIAH2	chr3	150741125	150763477	NA	-
MED12L	chr3	151085697	151437072	NA	+
GPR87	chr3	151294086	151316820	NA	-
IGSF10	chr3	151425384	151461061	NA	-
AADAC	chr3	151814073	151828488	NA	+
SUCNR1	chr3	151873643	151884619	NA	+
MBNL1	chr3	152243828	152465780	NA	+
P2RY1	chr3	152835131	152841439	NA	+
RAP2B	chr3	153162226	153170627	NA	+
ARHGEF26	chr3	154121003	154257827	NA	+
DHX36	chr3	154272546	154324487	NA	-
PLCH1	chr3	155375580	155745071	NA	-
C3orf33	chr3	155762617	155806278	NA	-
SLC33A1	chr3	155821024	155854456	NA	-
GMPS	chr3	155870650	155944020	NA	+
KCNAB1	chr3	156037701	156539138	NA	+
SSR3	chr3	156539553	156555149	NA	-
TIPARP	chr3	156673235	156706770	NA	+
LEKR1	chr3	156825481	157046129	NA	+
CCNL1	chr3	157146508	157160760	NA	-
VEPH1	chr3	157259742	157533619	NA	-
SHOX2	chr3	158095905	158106420	NA	-
RSRC1	chr3	158105855	158545730	NA	+
MLF1	chr3	158571163	158607252	NA	+
GFM1	chr3	158644527	158695581	NA	+
LXN	chr3	158645822	158672648	NA	-
RARRES1	chr3	158696892	158732489	NA	-
MFSD1	chr3	158732198	158829719	NA	+
IQCJ-SCHIP1	chr3	158962235	159897366	NA	+
SCHIP1	chr3	159839861	159897360	NA	+
IL12A	chr3	159988835	159996019	NA	+
C3orf80	chr3	160225422	160228213	NA	+
IFT80	chr3	160256986	160399880	NA	-
SMC4	chr3	160399274	160434954	NA	+
TRIM59	chr3	160432445	160485773	NA	-
KPNA4	chr3	160495007	160565571	NA	-
PPM1L	chr3	160755602	161078902	NA	+
B3GALNT1	chr3	161083883	161105411	NA	-
NMD3	chr3	161104696	161253532	NA	+
SPTSSB	chr3	161344792	161372880	NA	-
ZBBX	chr3	167239843	167407874	NA	-
WDR49	chr3	167478684	167653983	NA	-
PDCD10	chr3	167683298	167734939	NA	-
SERPINI1	chr3	167735243	167825569	NA	+
GOLIM4	chr3	168008689	168095924	NA	-
MECOM	chr3	169083499	169663775	NA	-
ACTRT3	chr3	169766921	169769561	NA	-
MYNN	chr3	169773396	169789716	NA	+
LRRC34	chr3	169793003	169812986	NA	-
SEC62	chr3	169966635	169998373	NA	+
GPR160	chr3	170037995	170085392	NA	+
PHC3	chr3	170086732	170181749	NA	-
PRKCI	chr3	170222424	170305977	NA	+
SKIL	chr3	170357678	170396835	NA	+
RPL22L1	chr3	170864875	170870208	NA	-
EIF5A2	chr3	170888418	170908644	NA	-
TNIK	chr3	171058414	171460408	NA	-
PLD1	chr3	171600404	171810950	NA	-
FNDC3B	chr3	172039578	172401669	NA	+
NCEH1	chr3	172630249	172711218	NA	-
ECT2	chr3	172750682	172821474	NA	+
NAALADL2	chr3	174438573	175810548	NA	+
TBL1XR1	chr3	177019340	177228000	NA	-
KCNMB2	chr3	178272932	178844429	NA	+
ZMAT3	chr3	178960121	179072215	NA	-
PIK3CA	chr3	179148114	179240093	NA	+
KCNMB3	chr3	179236691	179267002	NA	-
ZNF639	chr3	179323031	179338583	NA	+
MFN1	chr3	179347709	179394936	NA	+
GNB4	chr3	179396088	179451476	NA	-
ACTL6A	chr3	179562886	179588407	NA	+
MRPL47	chr3	179588285	179604649	NA	-
NDUFB5	chr3	179604690	179627647	NA	+
USP13	chr3	179653032	179804366	NA	+
PEX5L	chr3	179794958	180037053	NA	-
TTC14	chr3	180602163	180617828	NA	+
CCDC39	chr3	180602858	180684942	NA	-
FXR1	chr3	180868141	180982753	NA	+
DNAJC19	chr3	180983709	180989774	NA	-
ATP11B	chr3	182793503	182921629	NA	+
DCUN1D1	chr3	182938074	182985953	NA	-
MCCC1	chr3	183015218	183116075	NA	-
LAMP3	chr3	183122215	183163839	NA	-
MCF2L2	chr3	183178041	183428778	NA	-
B3GNT5	chr3	183253253	183298504	NA	+
KLHL24	chr3	183635610	183684519	NA	+
YEATS2	chr3	183697797	183812624	NA	+
MAP6D1	chr3	183815922	183825594	NA	-
PARL	chr3	183829271	183884933	NA	-
ABCC5	chr3	183919934	184017939	NA	-
EIF2B5	chr3	184135038	184146127	NA	+
DVL3	chr3	184155377	184173614	NA	+
AP2M1	chr3	184174689	184184091	NA	+
ABCF3	chr3	184186023	184194012	NA	+
VWA5B2	chr3	184230429	184242329	NA	+
ALG3	chr3	184242301	184249548	NA	-
CAMK2N2	chr3	184259213	184261553	NA	-
ECE2	chr3	184276011	184293031	NA	+
PSMD2	chr3	184299198	184309050	NA	+
EIF4G1	chr3	184314495	184335358	NA	+
FAM131A	chr3	184335926	184348421	NA	+
CLCN2	chr3	184346185	184361650	NA	-
POLR2H	chr3	184361718	184368596	NA	+
CHRD	chr3	184380073	184390736	NA	+
EPHB3	chr3	184561785	184582408	NA	+
MAGEF1	chr3	184710364	184712064	NA	-
VPS8	chr3	184812143	185052614	NA	+
EHHADH	chr3	185190624	185281990	NA	-
MAP3K13	chr3	185282941	185489094	NA	+
TMEM41A	chr3	185476496	185499057	NA	-
LIPH	chr3	185506262	185552588	NA	-
SENP2	chr3	185582496	185633551	NA	+
IGF2BP2	chr3	185643130	185825042	NA	-
TRA2B	chr3	185914558	185938103	NA	-
ETV5	chr3	186046314	186110318	NA	-
DGKG	chr3	186105668	186362234	NA	-
CRYGS	chr3	186538441	186546702	NA	-
TBCCD1	chr3	186546067	186570543	NA	-
DNAJB11	chr3	186567403	186585800	NA	+
EIF4A2	chr3	186783205	186789897	NA	+
RFC4	chr3	186789880	186807058	NA	-
ST6GAL1	chr3	186930325	187078553	NA	+
BCL6	chr3	187721377	187745725	NA	-
LPP	chr3	188153284	188890671	NA	+
TPRG1	chr3	188947214	189325304	NA	+
P3H2	chr3	189956728	190122437	NA	-
IL1RAP	chr3	190514051	190659750	NA	+
UTS2B	chr3	191267168	191330536	NA	-
CCDC50	chr3	191329085	191398659	NA	+
MB21D2	chr3	192796815	192917856	NA	-
OPA1	chr3	193593144	193697811	NA	+
HES1	chr3	194136148	194138732	NA	+
ATP13A3	chr3	194402672	194498364	NA	-
TMEM44	chr3	194587673	194633689	NA	-
LSG1	chr3	194640791	194672463	NA	-
FAM43A	chr3	194685883	194689037	NA	+
XXYLT1	chr3	195068284	195271159	NA	-
ACAP2	chr3	195274745	195443044	NA	-
PPP1R2	chr3	195514428	195543386	NA	-
APOD	chr3	195568705	195584033	NA	-
MUC20	chr3	195720884	195741123	NA	+
TNK2	chr3	195863364	195911945	NA	-
TFRC	chr3	196027183	196082096	NA	-
SLC51A	chr3	196211487	196243178	NA	+
PCYT1A	chr3	196214222	196287957	NA	-
TM4SF19	chr3	196319342	196338503	NA	-
UBXN7	chr3	196347662	196432430	NA	-
RNF168	chr3	196468783	196503768	NA	-
WDR53	chr3	196554177	196568674	NA	-
FBXO45	chr3	196568611	196589059	NA	+
PIGX	chr3	196639775	196736007	NA	+
CEP19	chr3	196706277	196712250	NA	-
PAK2	chr3	196739857	196832647	NA	+
SENP5	chr3	196867856	196934714	NA	+
NCBP2	chr3	196935402	196942594	NA	-
PIGZ	chr3	196946356	196969060	NA	-
MELTF	chr3	196988621	197029817	NA	-
DLG1	chr3	197042560	197299330	NA	-
BDH1	chr3	197509783	197573323	NA	-
RUBCN	chr3	197668867	197749727	NA	-
FYTTD1	chr3	197737179	197787596	NA	+
LRCH3	chr3	197791226	197888436	NA	+
IQCG	chr3	197889077	197960142	NA	-
RPL35A	chr3	197950190	197956610	NA	+
LMLN	chr3	197960200	198043720	NA	+
ZNF595	chr4	53286	88208	NA	+
ZNF721	chr4	425815	499156	NA	-
PIGG	chr4	499210	540200	NA	+
ATP5ME	chr4	672436	674330	NA	-
MYL5	chr4	673580	682033	NA	+
SLC49A3	chr4	681829	689271	NA	-
PCGF3	chr4	705748	770640	NA	+
CPLX1	chr4	784957	826129	NA	-
GAK	chr4	849276	932373	NA	-
TMEM175	chr4	932387	958656	NA	+
DGKQ	chr4	958887	986895	NA	-
SLC26A1	chr4	979073	993440	NA	-
IDUA	chr4	986997	1004564	NA	+
FGFRL1	chr4	1009936	1026898	NA	+
SPON2	chr4	1166932	1208962	NA	-
CTBP1	chr4	1211445	1249953	NA	-
MAEA	chr4	1289887	1340147	NA	+
UVSSA	chr4	1345691	1395989	NA	+
SLBP	chr4	1692731	1712344	NA	-
TACC3	chr4	1712858	1745171	NA	+
TMEM129	chr4	1715952	1721358	NA	-
FGFR3	chr4	1793293	1808872	NA	+
LETM1	chr4	1811479	1856156	NA	-
NSD2	chr4	1871393	1982207	NA	+
NELFA	chr4	1982717	2041903	NA	-
C4orf48	chr4	2041995	2043964	NA	+
NAT8L	chr4	2059327	2069089	NA	+
POLN	chr4	2071918	2242121	NA	-
HAUS3	chr4	2078998	2242276	NA	-
MXD4	chr4	2247432	2262109	NA	-
ZFYVE28	chr4	2269582	2418651	NA	-
RNF4	chr4	2462220	2625320	NA	+
FAM193A	chr4	2536647	2732573	NA	+
TNIP2	chr4	2741648	2756342	NA	-
SH3BP2	chr4	2793071	2841098	NA	+
ADD1	chr4	2843844	2930076	NA	+
MFSD10	chr4	2930561	2934834	NA	-
NOP14	chr4	2937933	2963406	NA	-
GRK4	chr4	2963571	3040760	NA	+
HTT	chr4	3041363	3243957	NA	+
RGS12	chr4	3293028	3439913	NA	+
DOK7	chr4	3463306	3501473	NA	+
LRPAP1	chr4	3503612	3532446	NA	-
ADRA2C	chr4	3766348	3768526	NA	+
TMEM128	chr4	4235542	4248223	NA	-
LYAR	chr4	4267701	4290154	NA	-
ZBTB49	chr4	4290251	4321786	NA	+
STX18	chr4	4415742	4542346	NA	-
MSX1	chr4	4859665	4863936	NA	+
WFS1	chr4	6269849	6303265	NA	+
PPP2R2C	chr4	6320578	6563600	NA	-
MAN2B2	chr4	6575189	6623362	NA	+
MRFAP1	chr4	6640091	6642745	NA	+
MRFAP1L1	chr4	6707701	6709865	NA	-
BLOC1S4	chr4	6716174	6717664	NA	+
KIAA0232	chr4	6781375	6884170	NA	+
TBC1D14	chr4	6909242	7033118	NA	+
TADA2B	chr4	7041899	7057952	NA	+
GRPEL1	chr4	7058895	7068064	NA	-
AFAP1	chr4	7758714	7939926	NA	-
ABLIM2	chr4	7965310	8158832	NA	-
SH3TC1	chr4	8182072	8241803	NA	+
ACOX3	chr4	8366282	8440723	NA	-
TRMT44	chr4	8436140	8493531	NA	+
GPR78	chr4	8558725	8619761	NA	+
CPZ	chr4	8592660	8619759	NA	+
SLC2A9	chr4	9771153	10054936	NA	-
